ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,57,6,65536,984,6672,304,2,0,24,,,,,,8.179326000,0.055035000,0.357366000,0.055035000,443
1,0,,,,64,6,64128,6976,984,65,2,0,24,0.000679000,,,,,8.180005000,0.000679000,0.358045000,0.000679000,49834
1,0,,,,57,6,57344,1049,6976,0,2,0,16,0.007360000,,,,,8.187365000,0.007360000,0.365405000,0.007360000,443
1,0,,,,57,6,65536,1049,6976,809,2,0,24,,,,,,8.246995000,0.059630000,0.425035000,0.059630000,443
1,0,,,,57,6,65536,1049,7785,31,2,0,24,,,,,,8.246996000,0.000001000,0.425036000,0.000001000,443
1,0,,,,64,6,64128,7816,1049,0,2,0,16,0.000357000,,,,,8.247353000,0.000357000,0.425393000,0.000357000,49834
1,0,,,,64,6,64128,7816,1049,93,2,0,24,,,,,,8.247817000,0.000464000,0.425857000,0.000464000,49834
1,0,,,,57,6,65536,1142,7816,0,2,0,16,0.007348000,,,,,8.255165000,0.007348000,0.433205000,0.007348000,443
1,0,,,,57,6,65536,1142,7816,326,2,0,24,,,,,,8.318424000,0.063259000,0.496464000,0.063259000,443
1,0,,,,64,6,64128,8142,1142,71,2,0,24,0.000692000,,,,,8.319116000,0.000692000,0.497156000,0.000692000,49834
1,0,,,,57,6,65536,1213,8142,0,2,0,16,0.007241000,,,,,8.326357000,0.007241000,0.504397000,0.007241000,443
1,0,,,,57,6,65536,1213,8142,811,2,0,24,,,,,,8.379453000,0.053096000,0.557493000,0.053096000,443
1,0,,,,57,6,65536,1213,8953,31,2,0,24,,,,,,8.379454000,0.000001000,0.557494000,0.000001000,443
1,0,,,,64,6,64128,8984,1213,0,2,0,16,0.000322000,,,,,8.379776000,0.000322000,0.557816000,0.000322000,49834
1,0,,,,64,6,64128,8984,1213,92,2,0,24,,,,,,8.380226000,0.000450000,0.558266000,0.000450000,49834
