ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,57,17,,,,,,,,,,,,443,9.492214000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492215000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492336000,0.000121000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492749000,0.000413000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492811000,0.000062000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492812000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492813000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.492932000,0.000119000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493019000,0.000087000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493020000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493021000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493086000,0.000065000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493087000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493217000,0.000130000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.493270000,0.000053000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493345000,0.000075000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493346000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.493403000,0.000057000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.493433000,0.000030000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493471000,0.000038000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.493472000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494075000,0.000603000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494076000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494077000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494078000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494837000,0.000759000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.494889000,0.000052000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494943000,0.000054000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494944000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494945000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494946000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.494947000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.494984000,0.000037000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495013000,0.000029000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495041000,0.000028000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495090000,0.000049000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495091000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495092000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495126000,0.000034000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495155000,0.000029000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495183000,0.000028000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495213000,0.000030000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495249000,0.000036000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495368000,0.000119000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495369000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495370000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.495403000,0.000033000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495487000,0.000084000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.495488000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.496101000,0.000613000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.496102000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.496103000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.496104000,0.000001000,,,
